ID      mean   std    th
C0I460 0.072 0.032 0.167
C0I480 0.053 0.036 0.162
C0I490 0.115 0.055 0.280
C0I530 0.064 0.058 0.237
C0I540 0.060 0.037 0.171
C0K240 0.084 0.014 0.125
C0K250 0.079 0.035 0.184
C0K280 0.048 0.108 0.371
C0K291 0.024 0.019 0.083
C0K330 0.069 0.016 0.117
C0K390 0.054 0.039 0.171
C0K410 0.119 0.024 0.191
C0K420 0.064 0.023 0.134
C0K430 0.026 0.054 0.189
C0K440 0.022 0.030 0.112
C0K450 0.071 0.043 0.200
C0K460 0.092 0.027 0.174
C0K470 0.065 0.029 0.153
C0K480 0.087 0.026 0.165
C0K500 0.035 0.023 0.105
C0K510 0.094 0.073 0.314
C0K520 0.068 0.020 0.128
C0K530 0.076 0.037 0.187
C0K550 0.048 0.030 0.139
C0K560 0.102 0.029 0.188
C0K580 0.075 0.038 0.190
C0M410 0.091 0.029 0.179
C0M520 0.054 0.016 0.103
C0M530 0.056 0.039 0.172
C0M650 0.066 0.031 0.159
C0M660 0.179 0.041 0.301
C0M670 0.152 0.040 0.272
C0M680 0.031 0.039 0.148
C0M690 0.153 0.052 0.310
C0M700 0.056 0.042 0.182
C0M710 0.072 0.024 0.143
C0M720 0.117 0.051 0.271
C0M730 0.064 0.038 0.177
C0M740 0.044 0.026 0.123
C0M750 0.128 0.056 0.294
C0M760 0.109 0.028 0.192
C0M770 0.173 0.050 0.322
C0M780 0.066 0.031 0.159
C0M790 0.075 0.025 0.151
C0M800 0.076 0.034 0.177
C0M810 0.075 0.045 0.212
C0M820 0.043 0.025 0.116
C0M850 0.032 0.025 0.106
C0M860 0.052 0.018 0.105
C0O810 0.098 0.034 0.201
C0O830 0.135 0.037 0.247
C0O840 0.084 0.059 0.262
C0O860 0.086 0.045 0.222
C0O900 0.070 0.016 0.119
C0O930 0.087 0.028 0.169
C0O950 0.043 0.030 0.135
C0O960 0.026 0.027 0.108
C0O970 0.126 0.039 0.241
